Ticker,Date,Open,High,Low,Close,Adj_Close,Volume,Split
ABB.NS,2025-03-10,5328.0,5410.75,5139.64990234375,5160.2998046875,5119.20703125,342786.0,0.0
ABB.NS,2025-03-11,5100.0,5182.0,5080.0,5129.2998046875,5088.45361328125,549888.0,0.0
ABB.NS,2025-03-12,5154.35009765625,5178.60009765625,5035.0,5139.7001953125,5098.771484375,222937.0,0.0
ABB.NS,2025-03-13,5152.0,5304.7001953125,5111.0,5118.5498046875,5077.78955078125,367022.0,0.0
ABB.NS,2025-03-17,5160.0,5218.4501953125,5101.0,5187.64990234375,5146.33935546875,276511.0,0.0
ABB.NS,2025-03-18,5187.64990234375,5187.64990234375,5187.64990234375,5187.64990234375,5146.33935546875,0.0,0.0
ABB.NS,2025-03-19,5432.60009765625,5512.7998046875,5346.75,5475.60009765625,5431.99658203125,580679.0,0.0
ABB.NS,2025-03-20,5500.0,5505.60009765625,5340.64990234375,5460.7001953125,5417.21533203125,442929.0,0.0
ABB.NS,2025-03-21,5469.9501953125,5572.64990234375,5433.39990234375,5457.5,5414.04052734375,685475.0,0.0
ABB.NS,2025-03-24,5471.14990234375,5598.0,5471.14990234375,5532.2001953125,5488.14599609375,310148.0,0.0
ABB.NS,2025-03-25,5593.0,5594.9501953125,5397.5,5414.14990234375,5371.03564453125,265207.0,0.0
ABB.NS,2025-03-26,5454.2001953125,5622.85009765625,5407.5498046875,5523.7001953125,5479.71337890625,729146.0,0.0
ABB.NS,2025-03-27,5485.0,5578.4501953125,5445.0498046875,5540.35009765625,5496.23046875,403518.0,0.0
ABB.NS,2025-03-28,5559.9501953125,5625.0,5503.75,5546.25,5502.08349609375,420034.0,0.0
ABB.NS,2025-04-01,5539.5,5548.0,5373.0,5399.14990234375,5356.1552734375,380081.0,0.0
ABB.NS,2025-04-02,5425.2001953125,5431.89990234375,5211.10009765625,5313.14990234375,5270.83984375,682715.0,0.0
ABB.NS,2025-04-03,5250.0,5354.14990234375,5242.7001953125,5327.2998046875,5284.876953125,224578.0,0.0
ABB.NS,2025-04-04,5325.0,5331.0498046875,5075.7001953125,5095.89990234375,5055.31982421875,457097.0,0.0
ABB.NS,2025-04-07,4684.4501953125,5022.35009765625,4684.4501953125,4963.5498046875,4924.0234375,765239.0,0.0
ABB.NS,2025-04-08,5041.0498046875,5119.9501953125,4970.0,5064.39990234375,5024.0703125,304029.0,0.0
ABB.NS,2025-04-09,5074.0,5090.89990234375,4970.0,5036.2001953125,4996.095703125,353532.0,0.0
ABB.NS,2025-04-11,5149.5,5173.9501953125,5052.0498046875,5143.2998046875,5102.34228515625,416323.0,0.0
ABB.NS,2025-04-15,5220.0,5288.5,5158.5,5246.5,5204.720703125,334196.0,0.0
ABB.NS,2025-04-16,5280.0,5457.5,5252.5,5379.5,5336.66162109375,566818.0,0.0
ABB.NS,2025-04-17,5422.5,5645.0,5294.5,5571.5,5527.13232421875,1143784.0,0.0
ABB.NS,2025-04-21,5678.5,5699.0,5519.0,5629.0,5584.1748046875,684672.0,0.0
ABB.NS,2025-04-22,5649.0,5704.0,5591.5,5682.5,5637.24853515625,325345.0,0.0
ABB.NS,2025-04-23,5715.0,5792.0,5609.0,5713.0,5667.50537109375,376059.0,0.0
ABB.NS,2025-04-24,5720.0,5733.0,5621.5,5688.5,5643.201171875,374809.0,0.0
ABB.NS,2025-04-25,5698.0,5708.5,5385.0,5499.0,5455.2099609375,638225.0,0.0
ABB.NS,2025-04-28,5499.0,5558.5,5459.0,5536.0,5491.9150390625,205197.0,0.0
ABB.NS,2025-04-29,5582.0,5625.0,5560.0,5583.5,5539.03662109375,224766.0,0.0
ABB.NS,2025-04-30,5590.0,5604.0,5469.0,5522.5,5478.52294921875,316444.0,0.0
ABB.NS,2025-05-02,5505.0,5531.0,5420.0,5441.0,5430.6142578125,203903.0,0.0
ABB.NS,2025-05-05,5499.0,5504.5,5415.5,5487.5,5477.025390625,241475.0,0.0
ABB.NS,2025-05-06,5500.0,5500.0,5310.0,5334.0,5323.818359375,400370.0,0.0
ABB.NS,2025-05-07,5270.5,5445.0,5270.0,5397.5,5387.197265625,270305.0,0.0
ABB.NS,2025-05-08,5402.0,5439.5,5210.0,5287.5,5277.4072265625,345691.0,0.0
ABB.NS,2025-05-09,5190.0,5468.0,5190.0,5440.5,5430.115234375,321841.0,0.0
ABB.NS,2025-05-12,5515.0,5715.0,5472.5,5587.0,5576.33544921875,669665.0,0.0
ABB.NS,2025-05-13,5590.0,5699.0,5528.0,5636.5,5625.7412109375,638165.0,0.0
ABB.NS,2025-05-14,5620.0,5745.0,5591.5,5635.0,5624.244140625,400038.0,0.0
ABB.NS,2025-05-15,5640.0,5747.5,5608.0,5735.0,5724.05322265625,356216.0,0.0
ABB.NS,2025-05-16,5745.0,5866.0,5701.0,5820.0,5808.89111328125,418266.0,0.0
ABB.NS,2025-05-19,5869.5,5913.0,5824.0,5838.0,5826.8564453125,181786.0,0.0
ABB.NS,2025-05-20,5897.5,5898.0,5710.0,5738.5,5727.54638671875,444180.0,0.0
ABB.NS,2025-05-21,5750.0,5899.5,5722.0,5886.5,5875.26416015625,266662.0,0.0
ABB.NS,2025-05-22,5893.5,5959.0,5826.5,5924.0,5912.6923828125,286074.0,0.0
ABB.NS,2025-05-23,5950.0,5989.5,5875.0,5961.0,5949.62158203125,208138.0,0.0
ABB.NS,2025-05-26,5965.0,6048.0,5965.0,5996.5,5985.05419921875,219984.0,0.0
ABB.NS,2025-05-27,6000.0,6050.0,5958.0,6014.5,6003.01953125,244514.0,0.0
ABB.NS,2025-05-28,6014.5,6062.0,5981.0,6015.0,6003.5185546875,160963.0,0.0
ABB.NS,2025-05-29,6015.0,6070.0,5986.5,6043.5,6031.96435546875,160875.0,0.0
ABB.NS,2025-05-30,6080.0,6118.0,5945.5,5971.0,5959.6025390625,296253.0,0.0
ABB.NS,2025-06-02,5960.0,5990.5,5891.0,5974.5,5963.09619140625,159034.0,0.0
ABB.NS,2025-06-03,5974.5,6080.0,5966.0,5995.0,5983.556640625,197089.0,0.0
ABB.NS,2025-06-04,6009.0,6050.0,5970.0,6041.5,6029.96826171875,171316.0,0.0
ABB.NS,2025-06-05,6041.0,6080.0,6010.0,6031.5,6019.9873046875,135626.0,0.0
ABB.NS,2025-06-06,6069.5,6175.5,6026.5,6051.5,6039.94921875,336263.0,0.0
ABB.NS,2025-06-09,6093.5,6240.5,6071.0,6215.0,6203.13671875,270782.0,0.0
ABB.NS,2025-06-10,6260.0,6260.0,6160.0,6168.0,6156.2265625,207893.0,0.0
ABB.NS,2025-06-11,6190.0,6195.0,6034.0,6077.0,6065.400390625,294907.0,0.0
ABB.NS,2025-06-12,6079.0,6099.0,5975.0,6021.0,6009.50732421875,369396.0,0.0
ABB.NS,2025-06-13,5890.0,6017.5,5885.0,5999.0,5987.54931640625,220342.0,0.0
ABB.NS,2025-06-16,6001.0,6045.0,5941.0,6014.0,6002.5205078125,133245.0,0.0
ABB.NS,2025-06-17,6040.0,6084.0,6014.0,6034.5,6022.9814453125,101944.0,0.0
ABB.NS,2025-06-18,6001.0,6089.5,6000.0,6044.0,6032.46337890625,165662.0,0.0
ABB.NS,2025-06-19,6044.0,6068.5,5850.0,5869.0,5857.79736328125,130952.0,0.0
ABB.NS,2025-06-20,5897.0,5991.0,5853.5,5968.5,5957.107421875,241725.0,0.0
ABB.NS,2025-06-23,5900.0,5959.0,5880.0,5923.5,5912.193359375,88496.0,0.0
ABB.NS,2025-06-24,5975.0,6067.0,5940.5,6003.5,5992.04052734375,228616.0,0.0
ABB.NS,2025-06-25,6051.0,6065.0,5941.0,5966.5,5955.111328125,138938.0,0.0
ABB.NS,2025-06-26,5985.0,6025.0,5953.0,6012.5,6001.0234375,110098.0,0.0
ABB.NS,2025-06-27,6060.0,6175.0,6030.0,6069.5,6057.91455078125,241168.0,0.0
ABB.NS,2025-06-30,6090.0,6133.5,6060.0,6080.5,6068.8935546875,157658.0,0.0
ABB.NS,2025-07-01,6114.5,6144.5,5921.5,5949.5,5938.1435546875,365605.0,0.0
ABB.NS,2025-07-02,5979.0,5989.5,5842.0,5906.0,5894.7265625,284183.0,0.0
ABB.NS,2025-07-03,5930.0,5938.5,5862.5,5871.5,5860.29248046875,193225.0,0.0
ABB.NS,2025-07-04,5892.0,5901.5,5841.0,5862.0,5850.810546875,153889.0,0.0
ABB.NS,2025-07-07,5862.0,5862.0,5802.0,5844.0,5832.84521484375,89857.0,0.0
ABB.NS,2025-07-08,5848.0,5885.0,5822.0,5840.0,5828.8525390625,242940.0,0.0
ABB.NS,2025-07-09,5840.5,5940.0,5821.0,5898.0,5886.7421875,204872.0,0.0
ABB.NS,2025-07-10,5898.0,5929.0,5826.5,5893.5,5882.25048828125,189571.0,0.0
ABB.NS,2025-07-11,5880.0,5897.0,5718.0,5756.5,5745.51220703125,280804.0,0.0
ABB.NS,2025-07-14,5756.5,5782.5,5577.0,5647.5,5636.72021484375,456678.0,0.0
ABB.NS,2025-07-15,5679.5,5725.0,5590.5,5608.0,5597.29541015625,454138.0,0.0
ABB.NS,2025-07-16,5608.0,5618.0,5502.5,5551.0,5540.404296875,590118.0,0.0
ABB.NS,2025-07-17,5568.0,5664.0,5468.0,5637.5,5626.7392578125,1071876.0,0.0
ABB.NS,2025-07-18,5684.0,5727.5,5630.5,5646.5,5635.72216796875,425486.0,0.0
ABB.NS,2025-07-21,5666.0,5845.5,5635.5,5836.0,5824.8603515625,428913.0,0.0
ABB.NS,2025-07-22,5850.5,5872.0,5731.0,5755.0,5744.01513671875,346363.0,0.0
ABB.NS,2025-07-23,5771.5,5788.0,5675.0,5711.0,5700.09912109375,186980.0,0.0
ABB.NS,2025-07-24,5711.0,5734.5,5655.0,5699.0,5688.1220703125,116292.0,0.0
ABB.NS,2025-07-25,5699.0,5710.0,5610.5,5643.0,5632.228515625,340538.0,0.0
ABB.NS,2025-07-28,5640.0,5644.0,5525.0,5545.5,5534.9150390625,265335.0,0.0
ABB.NS,2025-07-29,5545.0,5592.0,5478.0,5579.0,5568.35107421875,209954.0,0.0
ABB.NS,2025-07-30,5610.0,5610.0,5470.0,5554.0,5543.3984375,331867.0,0.0
ABB.NS,2025-07-31,5510.0,5574.5,5489.5,5510.0,5499.482421875,255793.0,0.0
ABB.NS,2025-08-01,5539.0,5539.0,5360.5,5387.5,5377.21630859375,382061.0,0.0
ABB.NS,2025-08-04,5310.0,5364.0,5014.5,5092.5,5082.77978515625,1957165.0,0.0
ABB.NS,2025-08-05,5070.0,5099.0,5019.5,5084.0,5074.2958984375,614211.0,0.0
ABB.NS,2025-08-06,5124.0,5124.0,5024.5,5097.0,5087.27099609375,385429.0,0.0
ABB.NS,2025-08-07,5092.5,5140.0,5017.0,5118.5,5108.72998046875,355953.0,0.0
ABB.NS,2025-08-08,5143.5,5143.5,5005.5,5022.0,5022.0,348746.0,0.0
ABB.NS,2025-08-11,5057.0,5122.5,5002.5,5047.0,5047.0,429040.0,0.0
ABB.NS,2025-08-12,5079.5,5089.5,5017.0,5071.5,5071.5,273262.0,0.0
ABB.NS,2025-08-13,5097.5,5102.0,5038.5,5087.0,5087.0,231709.0,0.0
ABB.NS,2025-08-14,5100.0,5105.5,5023.5,5030.0,5030.0,237754.0,0.0
ABB.NS,2025-08-18,5090.0,5090.0,5003.5,5037.5,5037.5,307068.0,0.0
ABB.NS,2025-08-19,5038.0,5082.0,5007.5,5068.0,5068.0,204663.0,0.0
ABB.NS,2025-08-20,5084.0,5140.5,5070.0,5121.5,5121.5,312054.0,0.0
