Ticker,Date,Close,Adj Close,Volume,Split
AVANTIFEED.NS,2025-02-10,743.0999755859375,733.0933837890625,1258715,0.0
AVANTIFEED.NS,2025-02-11,724.75,714.9905395507812,1414713,0.0
AVANTIFEED.NS,2025-02-12,707.25,697.7261962890625,949384,0.0
AVANTIFEED.NS,2025-02-13,699.4500122070312,690.0311889648438,391982,0.0
AVANTIFEED.NS,2025-02-14,659.0,650.1259155273438,641882,0.0
AVANTIFEED.NS,2025-02-17,658.25,649.385986328125,378368,0.0
AVANTIFEED.NS,2025-02-18,660.0999755859375,651.2110595703125,447817,0.0
AVANTIFEED.NS,2025-02-19,687.5499877929688,678.2914428710938,779887,0.0
AVANTIFEED.NS,2025-02-20,713.8499755859375,704.2372436523438,990394,0.0
AVANTIFEED.NS,2025-02-21,724.4000244140625,714.645263671875,794020,0.0
AVANTIFEED.NS,2025-02-24,735.0,725.1024780273438,692155,0.0
AVANTIFEED.NS,2025-02-25,741.4000244140625,731.4163208007812,650724,0.0
AVANTIFEED.NS,2025-02-27,745.75,735.7077026367188,1344950,0.0
AVANTIFEED.NS,2025-02-28,692.6500244140625,683.3228149414062,742091,0.0
AVANTIFEED.NS,2025-03-03,727.75,717.9501342773438,1691468,0.0
AVANTIFEED.NS,2025-03-04,740.0499877929688,730.08447265625,902815,0.0
AVANTIFEED.NS,2025-03-05,786.0999755859375,775.5143432617188,9432683,0.0
AVANTIFEED.NS,2025-03-06,793.2000122070312,782.518798828125,3629970,0.0
AVANTIFEED.NS,2025-03-07,798.7000122070312,787.9447021484375,1361944,0.0
AVANTIFEED.NS,2025-03-10,823.3499755859375,812.2627563476562,5524290,0.0
AVANTIFEED.NS,2025-03-11,819.9500122070312,808.9085693359375,1592034,0.0
AVANTIFEED.NS,2025-03-12,824.2999877929688,813.199951171875,1010942,0.0
AVANTIFEED.NS,2025-03-13,842.5499877929688,831.2042236328125,2101841,0.0
AVANTIFEED.NS,2025-03-17,891.7000122070312,879.6923828125,3333614,0.0
AVANTIFEED.NS,2025-03-18,891.7000122070312,879.6923828125,0,0.0
AVANTIFEED.NS,2025-03-19,904.0999755859376,891.9253540039062,2005483,0.0
AVANTIFEED.NS,2025-03-20,931.5999755859376,919.0550537109376,2330094,0.0
AVANTIFEED.NS,2025-03-21,933.9000244140624,921.3240966796876,1243135,0.0
AVANTIFEED.NS,2025-03-24,932.0,919.44970703125,1577269,0.0
AVANTIFEED.NS,2025-03-25,923.9500122070312,911.5081176757812,925892,0.0
