Stock,Ticker,Close,Adj_Close,RSI,Vol_Spike,Action,1Y_Return_%,Rank
Reliance Infrastructure Ltd.,RELINFRA.NS,119.84,119.84,29.05,1.61,OVERSOLD,-25.71,1
Syngene International Ltd.,SYNGENE.NS,452.8,452.8,9.87,0.9,CONTRA BUY,-28.95,2
KPIT Technologies Ltd.,KPITTECH.NS,973.6,973.6,10.87,1.04,CONTRA BUY,-22.33,2
Berger Paints India Ltd.,BERGEPAINT.NS,458.65,458.65,20.12,5.72,CONTRA BUY,-17.96,2
Hexaware Technologies Ltd.,HEXT.NS,586.0,586.0,22.16,1.3,CONTRA BUY,-23.08,2
Onesource Specialty Pharma Ltd.,ONESOURCE.NS,1193.2,1193.2,22.53,0.4,CONTRA BUY,-26.66,2
Intellect Design Arena Ltd.,INTELLECT.NS,760.55,760.55,24.54,0.94,CONTRA BUY,-30.63,2
Five-Star Business Finance Ltd.,FIVESTAR.NS,440.0,440.0,27.71,0.79,CONTRA BUY,-24.69,2
Zensar Technolgies Ltd.,ZENSARTECH.NS,622.85,622.85,29.91,0.47,CONTRA BUY,-15.1,2
Firstsource Solutions Ltd.,FSL.NS,293.05,293.05,30.97,0.65,CONTRA BUY,-15.11,2
Newgen Software Technologies Ltd.,NEWGEN.NS,553.7,553.7,31.03,0.37,CONTRA BUY,-36.45,2
Coforge Ltd.,COFORGE.NS,1551.0,1551.0,33.09,1.43,CONTRA BUY,-18.96,2
Oracle Financial Services Software Ltd.,OFSS.NS,7342.0,7342.0,33.91,0.84,CONTRA BUY,-9.35,2
PNB Housing Finance Ltd.,PNBHOUSING.NS,854.75,854.75,33.91,0.97,CONTRA BUY,-4.97,2
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,703.95,703.95,34.23,0.75,CONTRA BUY,-7.25,2
Cyient Ltd.,CYIENT.NS,1083.9,1083.9,34.52,0.74,CONTRA BUY,-8.05,2
Info Edge (India) Ltd.,NAUKRI.NS,1194.3,1194.3,34.82,1.2,CONTRA BUY,-13.87,2
SBI Cards and Payment Services Ltd.,SBICARD.NS,765.9,765.9,35.42,0.62,CONTRA BUY,-13.31,2
Clean Science and Technology Ltd.,CLEAN.NS,797.35,797.35,36.69,2.35,CONTRA BUY,-11.31,2
Cipla Ltd.,CIPLA.NS,1342.1,1342.1,37.33,0.48,CONTRA BUY,-11.51,2
PB Fintech Ltd.,POLICYBZR.NS,1504.6,1504.6,37.34,1.63,CONTRA BUY,-19.38,2
Bharat Dynamics Ltd.,BDL.NS,1300.0,1300.0,37.77,0.75,CONTRA BUY,-14.77,2
Happiest Minds Technologies Ltd.,HAPPSTMNDS.NS,393.6,393.6,39.37,1.6,CONTRA BUY,-20.27,2
Shree Cement Ltd.,SHREECEM.NS,26525.0,26525.0,39.64,1.26,CONTRA BUY,-0.08,2
IIFL Finance Ltd.,IIFL.NS,525.6,525.6,28.2,0.24,BUY,-9.5,3
Persistent Systems Ltd.,PERSISTENT.NS,5872.5,5872.5,31.67,0.59,BUY,-8.15,3
One 97 Communications Ltd.,PAYTM.NS,1161.3,1161.3,33.46,1.09,BUY,-14.87,3
LTIMindtree Ltd.,LTIM.NS,5662.0,5662.0,35.76,0.8,BUY,-8.14,3
Laurus Labs Ltd.,LAURUSLABS.NS,966.35,966.35,36.1,0.53,BUY,-5.28,3
Maruti Suzuki India Ltd.,MARUTI.NS,15146.0,15146.0,36.1,0.74,BUY,-6.73,3
Anand Rathi Wealth Ltd.,ANANDRATHI.NS,2963.4,2963.4,37.96,0.67,BUY,1.32,3
Sagility Ltd.,SAGILITY.NS,49.0,49.0,38.34,0.54,BUY,-0.59,3
Canara Bank,CANBK.NS,146.83,146.83,39.1,0.64,BUY,-3.42,3
Hindustan Zinc Ltd.,HINDZINC.NS,617.7,617.7,40.36,0.31,BUILD,24.62,4
Punjab National Bank,PNB.NS,122.96,122.96,43.34,0.55,BUILD,-1.91,4
Tech Mahindra Ltd.,TECHM.NS,1644.6,1644.6,43.6,0.6,BUILD,7.02,4
Emcure Pharmaceuticals Ltd.,EMCURE.NS,1510.3,1510.3,46.78,0.75,BUILD,8.46,4
Muthoot Finance Ltd.,MUTHOOTFIN.NS,3882.0,3882.0,48.49,0.88,BUILD,2.7,4
Aditya Birla Capital Ltd.,ABCAPITAL.NS,353.75,353.75,48.79,1.06,BUILD,-0.56,4
AU Small Finance Bank Ltd.,AUBANK.NS,1001.15,1001.15,49.97,0.77,BUILD,5.05,4
H.E.G. Ltd.,HEG.NS,560.7,560.7,50.59,0.97,BUILD,7.83,4
India Cements Ltd.,INDIACEM.NS,465.45,465.45,52.63,0.54,BUILD,21.54,4
NLC India Ltd.,NLCINDIA.NS,258.35,258.35,52.79,0.67,BUILD,6.99,4
National Aluminium Co. Ltd.,NATIONALUM.NS,368.65,368.65,52.88,0.46,BUILD,39.03,4
Vedanta Ltd.,VEDL.NS,690.15,690.15,53.11,0.48,BUILD,28.19,4
Multi Commodity Exchange of India Ltd.,MCX.NS,2470.7,2470.7,53.66,0.64,BUILD,20.89,4
Nestle India Ltd.,NESTLEIND.NS,1308.6,1308.6,53.86,0.79,BUILD,3.95,4
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,429.3,429.3,54.08,0.97,BUILD,0.19,4
Union Bank of India,UNIONBANK.NS,179.26,179.26,54.44,0.4,BUILD,15.08,4
Eicher Motors Ltd.,EICHERMOT.NS,7296.0,7296.0,55.05,1.17,BUILD,2.58,4
Manappuram Finance Ltd.,MANAPPURAM.NS,308.95,308.95,55.35,0.97,BUILD,11.13,4
Lupin Ltd.,LUPIN.NS,2204.1,2204.1,55.57,0.87,BUILD,5.83,4
Alkem Laboratories Ltd.,ALKEM.NS,5811.5,5811.5,55.7,0.66,BUILD,3.07,4
IDFC First Bank Ltd.,IDFCFIRSTB.NS,83.77,83.77,55.77,0.68,BUILD,2.18,4
360 ONE WAM Ltd.,360ONE.NS,1162.4,1162.4,56.13,0.68,BUILD,-0.04,4
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.NS,1923.1,1923.1,56.15,0.96,BUILD,8.99,4
MRF Ltd.,MRF.NS,148640.0,148640.0,56.42,1.44,BUILD,-3.8,4
Bank of India,BANKINDIA.NS,167.57,167.57,56.64,0.39,BUILD,14.99,4
Hindustan Copper Ltd.,HINDCOPPER.NS,597.55,597.55,56.75,0.28,BUILD,76.48,4
Inventurus Knowledge Solutions Ltd.,IKS.NS,1757.9,1757.9,57.03,1.11,BUILD,4.48,4
Hindalco Industries Ltd.,HINDALCO.NS,968.9,968.9,57.11,0.6,BUILD,20.08,4
Coal India Ltd.,COALINDIA.NS,430.95,430.95,57.67,0.57,BUILD,13.72,4
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,4079.6,4079.6,58.2,0.68,BUILD,9.43,4
City Union Bank Ltd.,CUB.NS,287.05,287.05,58.6,0.39,BUILD,5.15,4
Graphite India Ltd.,GRAPHITE.NS,668.25,668.25,58.65,1.94,BUILD,22.72,4
Marico Ltd.,MARICO.NS,764.85,764.85,58.8,0.75,BUILD,6.62,4
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,1726.2,1726.2,59.38,0.71,BUILD,0.85,4
Mahindra & Mahindra Ltd.,M&M.NS,3675.8,3675.8,59.53,0.72,BUILD,-1.1,4
Craftsman Automation Ltd.,CRAFTSMAN.NS,7851.0,7851.0,59.67,0.42,BUILD,12.88,4
Axis Bank Ltd.,AXISBANK.NS,1356.7,1356.7,59.77,0.66,BUILD,7.85,4
Dabur India Ltd.,DABUR.NS,519.7,519.7,60.14,0.67,BUILD,2.31,4
Poonawalla Fincorp Ltd.,POONAWALLA.NS,485.9,485.9,60.2,2.07,BUILD,2.22,4
PTC Industries Ltd.,PTCIL.NS,18562.0,18562.0,60.39,0.91,BUILD,1.14,4
Indian Bank,INDIANB.NS,906.05,906.05,60.99,0.85,BUILD,5.42,4
Federal Bank Ltd.,FEDERALBNK.NS,282.25,282.25,61.0,0.4,BUILD,9.21,4
Navin Fluorine International Ltd.,NAVINFLUOR.NS,6338.0,6338.0,61.04,6.39,BUILD,9.53,4
IndusInd Bank Ltd.,INDUSINDBK.NS,927.6,927.6,61.09,0.56,BUILD,9.09,4
Bank of Maharashtra,MAHABANK.NS,67.04,67.04,61.13,0.76,BUILD,16.45,4
Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,910.9,910.9,61.69,0.84,BUILD,8.71,4
Metropolis Healthcare Ltd.,METROPOLIS.NS,2005.6,2005.6,62.0,0.25,BUILD,3.42,4
Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS,605.35,605.35,62.19,1.05,BUILD,11.96,4
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,461.25,461.25,62.24,0.48,BUILD,2.4,4
Bharat Electronics Ltd.,BEL.NS,437.3,437.3,62.62,0.49,BUILD,5.87,4
Shriram Finance Ltd.,SHRIRAMFIN.NS,1048.6,1048.6,62.76,0.66,BUILD,24.33,4
