Ticker,Date,Close,Adj Close,Volume,Split
360ONE.NS,2025-02-10,991.8499755859376,980.8131103515624,505940,0.0
360ONE.NS,2025-02-11,989.4500122070312,978.4397583007812,283512,0.0
360ONE.NS,2025-02-12,954.5,943.878662109375,652357,0.0
360ONE.NS,2025-02-13,953.0999755859376,942.4942626953124,437231,0.0
360ONE.NS,2025-02-14,904.5999755859376,894.533935546875,335512,0.0
360ONE.NS,2025-02-17,896.4000244140625,886.4252319335938,630021,0.0
360ONE.NS,2025-02-18,884.6500244140625,874.8059692382812,946760,0.0
360ONE.NS,2025-02-19,932.7000122070312,922.3213500976562,931472,0.0
360ONE.NS,2025-02-20,955.25,944.620361328125,864634,0.0
360ONE.NS,2025-02-21,981.25,970.3309936523438,481971,0.0
360ONE.NS,2025-02-24,1009.4000244140624,998.1677856445312,3041066,0.0
360ONE.NS,2025-02-25,1038.5,1026.9439697265625,1939581,0.0
360ONE.NS,2025-02-27,1010.1500244140624,998.9094848632812,622537,0.0
360ONE.NS,2025-02-28,998.2999877929688,987.1912841796876,2050567,0.0
360ONE.NS,2025-03-03,978.5999755859376,967.7105102539062,1493319,0.0
360ONE.NS,2025-03-04,983.0499877929688,972.1109619140624,1119762,0.0
360ONE.NS,2025-03-05,983.5,972.5560302734376,778300,0.0
360ONE.NS,2025-03-06,966.25,955.4979248046876,349340,0.0
360ONE.NS,2025-03-07,972.9000244140624,962.073974609375,521682,0.0
360ONE.NS,2025-03-10,895.4000244140625,885.4363403320312,2325435,0.0
360ONE.NS,2025-03-11,865.1500244140625,855.52294921875,1640437,0.0
360ONE.NS,2025-03-12,846.3499755859375,836.93212890625,880718,0.0
360ONE.NS,2025-03-13,864.8499755859375,855.2262573242188,1427481,0.0
360ONE.NS,2025-03-17,854.5999755859375,845.09033203125,476976,0.0
360ONE.NS,2025-03-18,854.5999755859375,845.09033203125,0,0.0
360ONE.NS,2025-03-19,923.7999877929688,913.520263671875,2776070,0.0
360ONE.NS,2025-03-20,926.5999755859376,916.2891235351562,554710,0.0
360ONE.NS,2025-03-21,942.75,932.2594604492188,4892340,0.0
360ONE.NS,2025-03-24,978.75,967.85888671875,1536573,0.0
360ONE.NS,2025-03-25,977.7999877929688,966.9193725585938,757033,0.0
360ONE.NS,2025-03-26,959.6500244140624,948.971435546875,397546,0.0
360ONE.NS,2025-03-27,971.4000244140624,960.5906982421876,1816532,0.0
360ONE.NS,2025-03-28,942.6500244140624,932.1605834960938,969709,0.0
360ONE.NS,2025-04-01,888.1500244140625,878.2670288085938,529235,0.0
360ONE.NS,2025-04-02,890.5499877929688,880.6403198242188,310152,0.0
360ONE.NS,2025-04-03,912.5,902.3460693359376,355479,0.0
360ONE.NS,2025-04-04,849.3499755859375,839.8987426757812,962981,0.0
360ONE.NS,2025-04-07,886.5499877929688,876.684814453125,919861,0.0
360ONE.NS,2025-04-08,847.7000122070312,838.2671508789062,880189,0.0
360ONE.NS,2025-04-09,808.5499877929688,799.5527954101562,554023,0.0
360ONE.NS,2025-04-11,870.2000122070312,860.5167236328125,1958890,0.0
360ONE.NS,2025-04-15,938.7000122070312,928.2545166015624,2860927,0.0
360ONE.NS,2025-04-16,943.75,933.248291015625,866333,0.0
360ONE.NS,2025-04-17,956.7999877929688,946.153076171875,2754876,0.0
360ONE.NS,2025-04-21,954.25,943.6314697265624,2264748,0.0
360ONE.NS,2025-04-22,1013.9000244140624,1002.6177368164062,3326459,0.0
360ONE.NS,2025-04-23,1059.75,1047.95751953125,3333648,0.0
360ONE.NS,2025-04-24,1018.25,1006.9193115234376,1961884,0.0
360ONE.NS,2025-04-25,971.7000122070312,960.8873291015624,1165532,0.0
360ONE.NS,2025-04-28,983.9000244140624,972.9515991210938,937547,0.0
360ONE.NS,2025-04-29,983.0499877929688,978.075439453125,731964,0.0
360ONE.NS,2025-04-30,986.0499877929688,981.0602416992188,2937845,0.0
360ONE.NS,2025-05-02,948.75,943.9490356445312,428256,0.0
360ONE.NS,2025-05-05,937.2999877929688,932.5569458007812,530064,0.0
360ONE.NS,2025-05-06,906.2999877929688,901.7138061523438,524503,0.0
360ONE.NS,2025-05-07,932.1500244140624,927.4330444335938,1357495,0.0
